tt0067328,The Last Picture Show,Academy Award for Best Supporting Actress
tt0067328,The Last Picture Show,National Board of Review: Top Ten Films
tt0067328,The Last Picture Show,National Society of Film Critics Award for Best Supporting Actress
tt0067328,The Last Picture Show,BAFTA Award for Best Actor in a Supporting Role
tt0060397,Fantastic Voyage,Academy Award for Best Visual Effects
tt0060397,Fantastic Voyage,"Academy Award for Best Art Direction, Color"
tt0067328,The Last Picture Show,Golden Globe Award for Best Supporting Actor – Motion Picture
tt0067328,The Last Picture Show,BAFTA Award for Best Actress in a Supporting Role
tt0072730,A Boy and His Dog,Hugo Award for Best Dramatic Presentation
tt1045772,I Love You Phillip Morris,GLAAD Media Award for Outstanding Film – Limited Release
tt1045772,I Love You Phillip Morris,Dorian Award for LGBTQ Film of the Year
tt0082694,Mad Max 2,Los Angeles Film Critics Association Award for Best Foreign Language Film
tt0082694,Mad Max 2,Saturn Award for Best International Film
tt0082694,Mad Max 2,AACTA Award for Best Costume Design
tt0082694,Mad Max 2,AACTA Award for Best Direction
tt0082694,Mad Max 2,AACTA Award for Best Editing
tt0082694,Mad Max 2,AACTA Award for Best Production Design
tt0082694,Mad Max 2,AACTA Award for Best Sound
tt1714209,In the Land of Blood and Honey,Producers Guild Stanley Kramer Award
tt0410097,Hustle & Flow,Sundance Audience Award: U.S. Dramatic
tt0120188,Three Kings,National Board of Review: Top Ten Films
tt0093565,Moonstruck,"Academy Award for Best Writing, Original Screenplay"
tt0093565,Moonstruck,Academy Award for Best Actress
tt0093565,Moonstruck,Academy Award for Best Supporting Actress
tt0089606,My Life as a Dog,Guldbagge Award for Best Film
tt0089606,My Life as a Dog,Robert Award for Best Non-American Film
tt0089606,My Life as a Dog,Bodil Award for Best Non-American Film
tt0089606,My Life as a Dog,Greta
tt0047444,Samurai I: Musashi Miyamoto,Academy Honorary Award
tt0035140,"Now, Voyager",Academy Award for Best Original Dramatic or Comedy Score
tt0100436,Pump Up the Volume,Golden Space Needle
tt0049674,Richard III,David di Donatello for Best Foreign Actor
tt0049674,Richard III,David di Donatello for best foreign production
tt0049674,Richard III,BAFTA Award for Best Film
tt0049674,Richard III,BAFTA Award for Best British Film
tt0049674,Richard III,Golden Globe Award for Best English-Language Foreign Film
tt0415978,Me and You and Everyone We Know,Sundance Special Jury Prize for Originality of Vision Dramatic
tt2278388,The Grand Budapest Hotel,Academy Award for Best Costume Design
tt2278388,The Grand Budapest Hotel,Academy Award for Best Production Design
tt2278388,The Grand Budapest Hotel,Silver Bear Grand Jury Prize
tt2278388,The Grand Budapest Hotel,Academy Award for Best Makeup and Hairstyling
tt2278388,The Grand Budapest Hotel,Academy Award for Best Original Score
tt1714206,The Spectacular Now,Sundance Special Jury Prize for Acting
tt2216240,A Hijacking,Bodil Award for Best Danish Film
tt2216240,A Hijacking,Robert Award for Best Danish Film
tt2015381,Guardians of the Galaxy,Saturn Award for Best Make-up
tt2015381,Guardians of the Galaxy,Saturn Award for Best Comic-to-Film Motion Picture
tt2015381,Guardians of the Galaxy,Critics' Choice Movie Award for Best Action Movie
tt2015381,Guardians of the Galaxy,Critics' Choice Movie Award for Best Hair & Makeup
tt2015381,Guardians of the Galaxy,"Hugo Award for Best Dramatic Presentation, Long Form"
tt2015381,Guardians of the Galaxy,Saturn Award for the Best Actor
tt2015381,Guardians of the Galaxy,Saturn Award for Best Director
tt0081207,My Bodyguard,National Board of Review: Top Ten Films
tt2937898,A Most Violent Year,National Board of Review Award for Best Film
tt2937898,A Most Violent Year,National Board of Review: Top Ten Films
tt3397884,Sicario,National Board of Review: Top Ten Films
tt3076658,Creed,National Board of Review: Top Ten Films
tt4016934,The Handmaiden,CST Award of the Technical Artist
tt2119532,Hacksaw Ridge,AACTA Award for Best Direction
tt2119532,Hacksaw Ridge,AACTA Award for Best Editing
tt2119532,Hacksaw Ridge,AACTA Award for Best Original Screenplay
tt2119532,Hacksaw Ridge,AACTA Award for Best Production Design
tt2119532,Hacksaw Ridge,AACTA Award for Best Sound
tt2119532,Hacksaw Ridge,Academy Award for Best Film Editing
